timestamp,memory_used_mb,memory_total_mb,util_gpu_pct
2026/03/02 17:50:55.999,21289,23034,0
2026/03/02 17:50:57.043,21293,23034,77
2026/03/02 17:50:58.093,21293,23034,100
2026/03/02 17:50:59.138,21293,23034,100
2026/03/02 17:51:00.184,21293,23034,100
2026/03/02 17:51:01.231,21293,23034,100
2026/03/02 17:51:02.276,21293,23034,100
2026/03/02 17:51:03.324,21293,23034,100
2026/03/02 17:51:04.371,21293,23034,100
2026/03/02 17:51:05.417,21293,23034,100
2026/03/02 17:51:06.464,21293,23034,100
2026/03/02 17:51:07.512,21293,23034,100
2026/03/02 17:51:08.560,21293,23034,100
2026/03/02 17:51:09.607,21293,23034,71
2026/03/02 17:51:10.654,21293,23034,100
2026/03/02 17:51:11.700,21293,23034,100
2026/03/02 17:51:12.747,21293,23034,100
2026/03/02 17:51:13.794,21293,23034,100
2026/03/02 17:51:14.836,21293,23034,79
2026/03/02 17:51:15.882,21293,23034,100
2026/03/02 17:51:16.930,21293,23034,100
2026/03/02 17:51:17.975,21293,23034,100
2026/03/02 17:51:19.022,21293,23034,100
2026/03/02 17:51:20.068,21293,23034,100
2026/03/02 17:51:21.113,21293,23034,100
2026/03/02 17:51:22.160,21293,23034,100
2026/03/02 17:51:23.210,21293,23034,100
2026/03/02 17:51:24.258,21293,23034,100
2026/03/02 17:51:25.304,21293,23034,100
2026/03/02 17:51:26.351,21293,23034,100
2026/03/02 17:51:27.396,21293,23034,100
2026/03/02 17:51:28.441,21293,23034,100
2026/03/02 17:51:29.486,21293,23034,100
2026/03/02 17:51:30.533,21293,23034,100
2026/03/02 17:51:31.584,21293,23034,100
2026/03/02 17:51:32.633,21293,23034,100
2026/03/02 17:51:33.679,21293,23034,100
2026/03/02 17:51:34.729,21293,23034,100
2026/03/02 17:51:35.788,21293,23034,100
2026/03/02 17:51:36.845,21293,23034,100
