timestamp,memory_used_mb,memory_total_mb,util_gpu_pct
2026/03/02 17:19:42.684,21303,23034,0
2026/03/02 17:19:43.723,21303,23034,100
2026/03/02 17:19:44.775,21303,23034,100
2026/03/02 17:19:45.823,21303,23034,100
2026/03/02 17:19:46.873,21303,23034,100
2026/03/02 17:19:47.927,21303,23034,100
2026/03/02 17:19:48.979,21303,23034,100
2026/03/02 17:19:50.029,21303,23034,100
2026/03/02 17:19:51.079,21303,23034,100
2026/03/02 17:19:52.125,21303,23034,100
2026/03/02 17:19:53.174,21303,23034,100
2026/03/02 17:19:54.225,21303,23034,100
2026/03/02 17:19:55.274,21303,23034,100
2026/03/02 17:19:56.323,21303,23034,100
2026/03/02 17:19:57.374,21303,23034,100
2026/03/02 17:19:58.422,21303,23034,100
2026/03/02 17:19:59.470,21303,23034,100
2026/03/02 17:20:00.520,21303,23034,100
2026/03/02 17:20:01.570,21303,23034,100
2026/03/02 17:20:02.618,21303,23034,100
2026/03/02 17:20:03.667,21303,23034,100
2026/03/02 17:20:04.719,21303,23034,100
2026/03/02 17:20:05.768,21303,23034,100
2026/03/02 17:20:06.815,21303,23034,100
2026/03/02 17:20:07.865,21303,23034,100
2026/03/02 17:20:08.915,21303,23034,100
2026/03/02 17:20:09.963,21303,23034,100
2026/03/02 17:20:11.016,21303,23034,100
2026/03/02 17:20:12.064,21303,23034,100
2026/03/02 17:20:13.115,21303,23034,100
2026/03/02 17:20:14.166,21303,23034,100
2026/03/02 17:20:15.217,21303,23034,100
2026/03/02 17:20:16.265,21303,23034,100
2026/03/02 17:20:17.316,21303,23034,100
2026/03/02 17:20:18.368,21303,23034,100
2026/03/02 17:20:19.418,21303,23034,100
2026/03/02 17:20:20.470,21303,23034,100
2026/03/02 17:20:21.521,21303,23034,100
2026/03/02 17:20:22.570,21303,23034,100
2026/03/02 17:20:23.620,21303,23034,100
2026/03/02 17:20:24.673,21303,23034,100
2026/03/02 17:20:25.719,21303,23034,86
2026/03/02 17:20:26.771,21303,23034,100
2026/03/02 17:20:27.822,21303,23034,100
2026/03/02 17:20:28.872,21303,23034,100
2026/03/02 17:20:29.925,21303,23034,100
2026/03/02 17:20:30.974,21303,23034,100
2026/03/02 17:20:32.025,21303,23034,100
2026/03/02 17:20:33.074,21303,23034,96
2026/03/02 17:20:34.122,21303,23034,100
2026/03/02 17:20:35.173,21303,23034,100
2026/03/02 17:20:36.221,21303,23034,100
2026/03/02 17:20:37.270,21303,23034,100
2026/03/02 17:20:38.321,21303,23034,100
2026/03/02 17:20:39.369,21303,23034,100
2026/03/02 17:20:40.425,21303,23034,100
2026/03/02 17:20:41.473,21303,23034,100
2026/03/02 17:20:42.523,21303,23034,100
2026/03/02 17:20:43.573,21303,23034,100
2026/03/02 17:20:44.625,21303,23034,100
